,Number,title,artist,top genre,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,popularity
37,38,Say You Say Me,Lionel Richie,adult standards,1986,128,0.41,0.64,-11,0.08,0.26,241000,0.36,0.03,70
38,39,Heaven Is a Place on Earth,Belinda Carlisle,dance pop,2013,123,0.85,0.64,-8,0.05,0.79,247000,0.02,0.03,70
39,40,I Want To Break Free - Remastered 2011,Queen,glam rock,1984,109,0.41,0.88,-11,0.12,0.78,199000,0.08,0.04,70
40,41,Arthur's Theme (Best That You Can Do),Christopher Cross,adult standards,1981,137,0.52,0.53,-11,0.18,0.52,234000,0.17,0.04,70
41,42,Carrie,Europe,album rock,1986,137,0.49,0.46,-7,0.36,0.14,272000,0.11,0.03,70
43,44,Stuck On You,Lionel Richie,adult standards,1983,132,0.32,0.51,-16,0.09,0.25,192000,0.62,0.03,69
44,45,Hurts So Good,John Mellencamp,album rock,1982,125,0.74,0.79,-5,0.11,0.97,219000,0.04,0.04,69
45,46,How Am I Supposed to Live Without You,Michael Bolton,adult standards,1989,140,0.44,0.54,-12,0.11,0.23,256000,0.19,0.03,69
46,47,Hysteria,Def Leppard,album rock,1987,107,0.85,0.66,-6,0.2,0.66,355000,0.03,0.03,68
47,48,Nikita,Elton John,glam rock,1985,87,0.66,0.63,-9,0.07,0.75,343000,0.12,0.03,68
48,49,Dancing With Myself,Billy Idol,album rock,1985,177,0.7,0.51,-11,0.3,0.91,360000,0.02,0.08,68
49,50,I'll Be Over You,TOTO,album rock,1986,82,0.28,0.52,-18,0.26,0.41,230000,0.06,0.03,68
50,51,Kids In America,Kim Wilde,dance pop,1981,160,0.78,0.56,-4,0.12,0.31,206000,0.1,0.05,68
51,52,St. Elmos Fire (Man in Motion),John Parr,album rock,1985,111,0.6,0.61,-11,0.22,0.47,252000,0.15,0.03,68
52,53,One More Night - 2016 Remaster,Phil Collins,mellow gold,1985,136,0.44,0.53,-9,0.1,0.34,289000,0.79,0.03,68
53,54,Come On Eileen,Dexys Midnight Runners,bow pop,2009,107,0.87,0.41,-4,0.08,0.82,206000,0.2,0.09,68
54,55,Where Do Broken Hearts Go,Whitney Houston,dance pop,1987,62,0.39,0.46,-12,0.07,0.25,278000,0.63,0.03,67
55,56,Guilty (feat. Barry Gibb),Barbra Streisand,adult standards,1980,151,0.43,0.63,-16,0.11,0.95,264000,0.23,0.04,67
56,57,Brother Louie,Modern Talking,eurodance,1986,109,0.84,0.78,-9,0.14,0.83,223000,0.4,0.05,67
57,58,Running Up That Hill (A Deal With God),Kate Bush,art pop,1985,108,0.55,0.63,-13,0.06,0.2,299000,0.72,0.06,67
58,59,End Of The Line,Traveling Wilburys,album rock,1988,167,0.84,0.58,-7,0.06,0.93,210000,0.16,0.05,67
59,60,Every Breath You Take,The Police,album rock,2017,117,0.48,0.82,-9,0.08,0.72,252000,0.56,0.03,67
60,61,"Up Where We Belong - From ""An Officer And A Gentleman""",Joe Cocker,album rock,2000,140,0.31,0.63,-12,0.07,0.24,233000,0.61,0.03,67
61,62,Woman in Love,Barbra Streisand,adult standards,1980,170,0.28,0.47,-16,0.13,0.33,232000,0.25,0.03,67
62,63,Cheri Cheri Lady,Modern Talking,eurodance,1985,114,0.62,0.68,-14,0.35,0.85,226000,0.46,0.03,66
63,64,Higher Love - Single Version,Steve Winwood,album rock,2007,99,0.89,0.7,-7,0.5,0.92,252000,0.06,0.04,66
64,65,That's What Friends Are For,Dionne Warwick,adult standards,1985,120,0.24,0.68,-16,0.07,0.17,256000,0.51,0.03,66
65,66,Gloria,Laura Branigan,dance rock,1995,131,0.87,0.78,-4,0.15,0.88,295000,0.14,0.03,66
